"Notes"	"County of Residence"	"County of Residence Code"	"Mother's Single Race 6"	"Mother's Single Race 6 Code"	"Mother's Hispanic Origin"	"Mother's Hispanic Origin Code"	"Mother's Weight Gain Recode"	"Mother's Weight Gain Recode Code"	Births
	"Oswego County, NY"	"36075"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"11 to 20 pounds"	"2"	Suppressed
	"Oswego County, NY"	"36075"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"21 to 30 pounds"	"3"	Suppressed
	"Oswego County, NY"	"36075"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"31 to 40 pounds"	"4"	Suppressed
	"Oswego County, NY"	"36075"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"41 to 98 pounds"	"5"	Suppressed
	"Oswego County, NY"	"36075"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"Unknown or Not Stated"	"9"	Suppressed
	"Oswego County, NY"	"36075"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"Less than 11 pounds"	"1"	Suppressed
	"Oswego County, NY"	"36075"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"11 to 20 pounds"	"2"	Suppressed
	"Oswego County, NY"	"36075"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"21 to 30 pounds"	"3"	Suppressed
	"Oswego County, NY"	"36075"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"31 to 40 pounds"	"4"	Suppressed
	"Oswego County, NY"	"36075"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"41 to 98 pounds"	"5"	Suppressed
	"Oswego County, NY"	"36075"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"Unknown or Not Stated"	"9"	Suppressed
	"Oswego County, NY"	"36075"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"Less than 11 pounds"	"1"	39
	"Oswego County, NY"	"36075"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"11 to 20 pounds"	"2"	35
	"Oswego County, NY"	"36075"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"21 to 30 pounds"	"3"	32
	"Oswego County, NY"	"36075"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"31 to 40 pounds"	"4"	23
	"Oswego County, NY"	"36075"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"41 to 98 pounds"	"5"	10
	"Oswego County, NY"	"36075"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"Unknown or Not Stated"	"9"	Suppressed
	"Queens County, NY"	"36081"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"Less than 11 pounds"	"1"	Suppressed
	"Queens County, NY"	"36081"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"11 to 20 pounds"	"2"	16
	"Queens County, NY"	"36081"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"21 to 30 pounds"	"3"	Suppressed
	"Queens County, NY"	"36081"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"31 to 40 pounds"	"4"	10
	"Queens County, NY"	"36081"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"41 to 98 pounds"	"5"	Suppressed
	"Queens County, NY"	"36081"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"Unknown or Not Stated"	"9"	Suppressed
	"Queens County, NY"	"36081"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"Less than 11 pounds"	"1"	222
	"Queens County, NY"	"36081"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"11 to 20 pounds"	"2"	480
	"Queens County, NY"	"36081"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"21 to 30 pounds"	"3"	627
	"Queens County, NY"	"36081"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"31 to 40 pounds"	"4"	310
	"Queens County, NY"	"36081"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"41 to 98 pounds"	"5"	104
	"Queens County, NY"	"36081"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"Unknown or Not Stated"	"9"	Suppressed
	"Queens County, NY"	"36081"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"Less than 11 pounds"	"1"	20
	"Queens County, NY"	"36081"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"11 to 20 pounds"	"2"	54
	"Queens County, NY"	"36081"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"21 to 30 pounds"	"3"	45
	"Queens County, NY"	"36081"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"31 to 40 pounds"	"4"	28
	"Queens County, NY"	"36081"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"41 to 98 pounds"	"5"	17
	"Queens County, NY"	"36081"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"Unknown or Not Stated"	"9"	Suppressed
	"Queens County, NY"	"36081"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"Less than 11 pounds"	"1"	134
	"Queens County, NY"	"36081"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"11 to 20 pounds"	"2"	220
	"Queens County, NY"	"36081"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"21 to 30 pounds"	"3"	258
	"Queens County, NY"	"36081"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"31 to 40 pounds"	"4"	168
	"Queens County, NY"	"36081"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"41 to 98 pounds"	"5"	105
	"Queens County, NY"	"36081"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"Unknown or Not Stated"	"9"	12
	"Queens County, NY"	"36081"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"Less than 11 pounds"	"1"	101
	"Queens County, NY"	"36081"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"11 to 20 pounds"	"2"	211
	"Queens County, NY"	"36081"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"21 to 30 pounds"	"3"	225
	"Queens County, NY"	"36081"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"31 to 40 pounds"	"4"	130
	"Queens County, NY"	"36081"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"41 to 98 pounds"	"5"	75
	"Queens County, NY"	"36081"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"Unknown or Not Stated"	"9"	Suppressed
	"Queens County, NY"	"36081"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"Less than 11 pounds"	"1"	51
	"Queens County, NY"	"36081"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"11 to 20 pounds"	"2"	128
	"Queens County, NY"	"36081"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"21 to 30 pounds"	"3"	217
	"Queens County, NY"	"36081"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"31 to 40 pounds"	"4"	123
	"Queens County, NY"	"36081"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"41 to 98 pounds"	"5"	57
	"Queens County, NY"	"36081"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"Unknown or Not Stated"	"9"	10
	"Rensselaer County, NY"	"36083"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"Less than 11 pounds"	"1"	Suppressed
	"Rensselaer County, NY"	"36083"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"11 to 20 pounds"	"2"	Suppressed
	"Rensselaer County, NY"	"36083"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"21 to 30 pounds"	"3"	Suppressed
	"Rensselaer County, NY"	"36083"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"31 to 40 pounds"	"4"	Suppressed
	"Rensselaer County, NY"	"36083"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"41 to 98 pounds"	"5"	Suppressed
	"Rensselaer County, NY"	"36083"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"Unknown or Not Stated"	"9"	Suppressed
	"Rensselaer County, NY"	"36083"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"Less than 11 pounds"	"1"	Suppressed
	"Rensselaer County, NY"	"36083"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"11 to 20 pounds"	"2"	Suppressed
	"Rensselaer County, NY"	"36083"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"21 to 30 pounds"	"3"	Suppressed
	"Rensselaer County, NY"	"36083"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"31 to 40 pounds"	"4"	Suppressed
	"Rensselaer County, NY"	"36083"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"41 to 98 pounds"	"5"	Suppressed
	"Rensselaer County, NY"	"36083"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"Unknown or Not Stated"	"9"	Suppressed
	"Rensselaer County, NY"	"36083"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"Less than 11 pounds"	"1"	Suppressed
	"Rensselaer County, NY"	"36083"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"11 to 20 pounds"	"2"	Suppressed
	"Rensselaer County, NY"	"36083"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"21 to 30 pounds"	"3"	Suppressed
	"Rensselaer County, NY"	"36083"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"31 to 40 pounds"	"4"	Suppressed
	"Rensselaer County, NY"	"36083"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"41 to 98 pounds"	"5"	Suppressed
	"Rensselaer County, NY"	"36083"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"Unknown or Not Stated"	"9"	Suppressed
	"Rensselaer County, NY"	"36083"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"Less than 11 pounds"	"1"	Suppressed
	"Rensselaer County, NY"	"36083"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"11 to 20 pounds"	"2"	14
	"Rensselaer County, NY"	"36083"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"21 to 30 pounds"	"3"	11
	"Rensselaer County, NY"	"36083"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"31 to 40 pounds"	"4"	Suppressed
	"Rensselaer County, NY"	"36083"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"41 to 98 pounds"	"5"	Suppressed
	"Rensselaer County, NY"	"36083"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"Unknown or Not Stated"	"9"	Suppressed
	"Rensselaer County, NY"	"36083"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"Less than 11 pounds"	"1"	Suppressed
	"Rensselaer County, NY"	"36083"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"11 to 20 pounds"	"2"	Suppressed
	"Rensselaer County, NY"	"36083"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"21 to 30 pounds"	"3"	Suppressed
	"Rensselaer County, NY"	"36083"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"31 to 40 pounds"	"4"	Suppressed
	"Rensselaer County, NY"	"36083"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"41 to 98 pounds"	"5"	Suppressed
	"Rensselaer County, NY"	"36083"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"Unknown or Not Stated"	"9"	Suppressed
	"Rensselaer County, NY"	"36083"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"Less than 11 pounds"	"1"	18
	"Rensselaer County, NY"	"36083"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"11 to 20 pounds"	"2"	30
	"Rensselaer County, NY"	"36083"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"21 to 30 pounds"	"3"	38
	"Rensselaer County, NY"	"36083"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"31 to 40 pounds"	"4"	26
	"Rensselaer County, NY"	"36083"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"41 to 98 pounds"	"5"	11
	"Rensselaer County, NY"	"36083"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"Unknown or Not Stated"	"9"	Suppressed
	"Richmond County, NY"	"36085"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"Less than 11 pounds"	"1"	Suppressed
	"Richmond County, NY"	"36085"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"11 to 20 pounds"	"2"	Suppressed
	"Richmond County, NY"	"36085"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"21 to 30 pounds"	"3"	Suppressed
	"Richmond County, NY"	"36085"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"31 to 40 pounds"	"4"	Suppressed
	"Richmond County, NY"	"36085"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"41 to 98 pounds"	"5"	Suppressed
	"Richmond County, NY"	"36085"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"Unknown or Not Stated"	"9"	Suppressed
	"Richmond County, NY"	"36085"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"Less than 11 pounds"	"1"	Suppressed
	"Richmond County, NY"	"36085"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"11 to 20 pounds"	"2"	24
	"Richmond County, NY"	"36085"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"21 to 30 pounds"	"3"	30
	"Richmond County, NY"	"36085"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"31 to 40 pounds"	"4"	17
	"Richmond County, NY"	"36085"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"41 to 98 pounds"	"5"	Suppressed
	"Richmond County, NY"	"36085"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"Unknown or Not Stated"	"9"	Suppressed
	"Richmond County, NY"	"36085"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"Less than 11 pounds"	"1"	Suppressed
	"Richmond County, NY"	"36085"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"11 to 20 pounds"	"2"	Suppressed
	"Richmond County, NY"	"36085"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"21 to 30 pounds"	"3"	Suppressed
	"Richmond County, NY"	"36085"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"31 to 40 pounds"	"4"	Suppressed
	"Richmond County, NY"	"36085"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"41 to 98 pounds"	"5"	Suppressed
	"Richmond County, NY"	"36085"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"Unknown or Not Stated"	"9"	Suppressed
	"Richmond County, NY"	"36085"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"Less than 11 pounds"	"1"	19
	"Richmond County, NY"	"36085"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"11 to 20 pounds"	"2"	40
	"Richmond County, NY"	"36085"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"21 to 30 pounds"	"3"	29
	"Richmond County, NY"	"36085"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"31 to 40 pounds"	"4"	26
	"Richmond County, NY"	"36085"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"41 to 98 pounds"	"5"	17
	"Richmond County, NY"	"36085"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"Unknown or Not Stated"	"9"	Suppressed
	"Richmond County, NY"	"36085"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"Less than 11 pounds"	"1"	18
	"Richmond County, NY"	"36085"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"11 to 20 pounds"	"2"	31
	"Richmond County, NY"	"36085"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"21 to 30 pounds"	"3"	31
	"Richmond County, NY"	"36085"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"31 to 40 pounds"	"4"	25
	"Richmond County, NY"	"36085"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"41 to 98 pounds"	"5"	10
	"Richmond County, NY"	"36085"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"Unknown or Not Stated"	"9"	Suppressed
	"Richmond County, NY"	"36085"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"Less than 11 pounds"	"1"	18
	"Richmond County, NY"	"36085"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"11 to 20 pounds"	"2"	54
	"Richmond County, NY"	"36085"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"21 to 30 pounds"	"3"	86
	"Richmond County, NY"	"36085"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"31 to 40 pounds"	"4"	72
	"Richmond County, NY"	"36085"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"41 to 98 pounds"	"5"	40
	"Richmond County, NY"	"36085"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"Unknown or Not Stated"	"9"	Suppressed
	"Rockland County, NY"	"36087"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"Less than 11 pounds"	"1"	Suppressed
	"Rockland County, NY"	"36087"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"11 to 20 pounds"	"2"	Suppressed
	"Rockland County, NY"	"36087"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"21 to 30 pounds"	"3"	Suppressed
	"Rockland County, NY"	"36087"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"31 to 40 pounds"	"4"	Suppressed
	"Rockland County, NY"	"36087"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"41 to 98 pounds"	"5"	Suppressed
	"Rockland County, NY"	"36087"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"Unknown or Not Stated"	"9"	Suppressed
	"Rockland County, NY"	"36087"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"Less than 11 pounds"	"1"	Suppressed
	"Rockland County, NY"	"36087"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"11 to 20 pounds"	"2"	12
	"Rockland County, NY"	"36087"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"21 to 30 pounds"	"3"	12
	"Rockland County, NY"	"36087"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"31 to 40 pounds"	"4"	Suppressed
	"Rockland County, NY"	"36087"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"41 to 98 pounds"	"5"	Suppressed
	"Rockland County, NY"	"36087"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"Unknown or Not Stated"	"9"	Suppressed
	"Rockland County, NY"	"36087"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"Less than 11 pounds"	"1"	Suppressed
	"Rockland County, NY"	"36087"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"11 to 20 pounds"	"2"	Suppressed
	"Rockland County, NY"	"36087"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"21 to 30 pounds"	"3"	Suppressed
	"Rockland County, NY"	"36087"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"31 to 40 pounds"	"4"	Suppressed
	"Rockland County, NY"	"36087"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"41 to 98 pounds"	"5"	Suppressed
	"Rockland County, NY"	"36087"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"Unknown or Not Stated"	"9"	Suppressed
	"Rockland County, NY"	"36087"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"Less than 11 pounds"	"1"	Suppressed
	"Rockland County, NY"	"36087"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"11 to 20 pounds"	"2"	26
	"Rockland County, NY"	"36087"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"21 to 30 pounds"	"3"	20
	"Rockland County, NY"	"36087"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"31 to 40 pounds"	"4"	11
	"Rockland County, NY"	"36087"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"41 to 98 pounds"	"5"	Suppressed
	"Rockland County, NY"	"36087"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"Unknown or Not Stated"	"9"	Suppressed
	"Rockland County, NY"	"36087"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"Less than 11 pounds"	"1"	14
	"Rockland County, NY"	"36087"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"11 to 20 pounds"	"2"	39
	"Rockland County, NY"	"36087"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"21 to 30 pounds"	"3"	26
	"Rockland County, NY"	"36087"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"31 to 40 pounds"	"4"	20
	"Rockland County, NY"	"36087"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"41 to 98 pounds"	"5"	Suppressed
	"Rockland County, NY"	"36087"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"Unknown or Not Stated"	"9"	Suppressed
	"Rockland County, NY"	"36087"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"Less than 11 pounds"	"1"	31
	"Rockland County, NY"	"36087"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"11 to 20 pounds"	"2"	100
	"Rockland County, NY"	"36087"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"21 to 30 pounds"	"3"	121
	"Rockland County, NY"	"36087"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"31 to 40 pounds"	"4"	45
	"Rockland County, NY"	"36087"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"41 to 98 pounds"	"5"	24
	"Rockland County, NY"	"36087"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"Unknown or Not Stated"	"9"	15
	"St. Lawrence County, NY"	"36089"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"Less than 11 pounds"	"1"	Suppressed
	"St. Lawrence County, NY"	"36089"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"11 to 20 pounds"	"2"	Suppressed
	"St. Lawrence County, NY"	"36089"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"21 to 30 pounds"	"3"	Suppressed
	"St. Lawrence County, NY"	"36089"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"31 to 40 pounds"	"4"	Suppressed
	"St. Lawrence County, NY"	"36089"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"41 to 98 pounds"	"5"	Suppressed
	"St. Lawrence County, NY"	"36089"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"Unknown or Not Stated"	"9"	Suppressed
	"St. Lawrence County, NY"	"36089"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"Less than 11 pounds"	"1"	Suppressed
	"St. Lawrence County, NY"	"36089"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"11 to 20 pounds"	"2"	Suppressed
	"St. Lawrence County, NY"	"36089"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"21 to 30 pounds"	"3"	Suppressed
	"St. Lawrence County, NY"	"36089"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"31 to 40 pounds"	"4"	Suppressed
	"St. Lawrence County, NY"	"36089"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"41 to 98 pounds"	"5"	Suppressed
	"St. Lawrence County, NY"	"36089"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"Unknown or Not Stated"	"9"	Suppressed
	"St. Lawrence County, NY"	"36089"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"Less than 11 pounds"	"1"	Suppressed
	"St. Lawrence County, NY"	"36089"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"11 to 20 pounds"	"2"	Suppressed
	"St. Lawrence County, NY"	"36089"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"21 to 30 pounds"	"3"	Suppressed
	"St. Lawrence County, NY"	"36089"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"31 to 40 pounds"	"4"	Suppressed
	"St. Lawrence County, NY"	"36089"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"41 to 98 pounds"	"5"	Suppressed
	"St. Lawrence County, NY"	"36089"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"Unknown or Not Stated"	"9"	Suppressed
	"St. Lawrence County, NY"	"36089"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"Less than 11 pounds"	"1"	Suppressed
	"St. Lawrence County, NY"	"36089"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"11 to 20 pounds"	"2"	Suppressed
	"St. Lawrence County, NY"	"36089"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"21 to 30 pounds"	"3"	Suppressed
	"St. Lawrence County, NY"	"36089"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"31 to 40 pounds"	"4"	Suppressed
	"St. Lawrence County, NY"	"36089"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"41 to 98 pounds"	"5"	Suppressed
	"St. Lawrence County, NY"	"36089"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"Unknown or Not Stated"	"9"	Suppressed
	"St. Lawrence County, NY"	"36089"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"Less than 11 pounds"	"1"	Suppressed
	"St. Lawrence County, NY"	"36089"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"11 to 20 pounds"	"2"	Suppressed
	"St. Lawrence County, NY"	"36089"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"21 to 30 pounds"	"3"	Suppressed
	"St. Lawrence County, NY"	"36089"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"31 to 40 pounds"	"4"	Suppressed
	"St. Lawrence County, NY"	"36089"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"41 to 98 pounds"	"5"	Suppressed
	"St. Lawrence County, NY"	"36089"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"Unknown or Not Stated"	"9"	Suppressed
	"St. Lawrence County, NY"	"36089"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"Less than 11 pounds"	"1"	25
	"St. Lawrence County, NY"	"36089"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"11 to 20 pounds"	"2"	34
	"St. Lawrence County, NY"	"36089"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"21 to 30 pounds"	"3"	27
	"St. Lawrence County, NY"	"36089"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"31 to 40 pounds"	"4"	12
	"St. Lawrence County, NY"	"36089"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"41 to 98 pounds"	"5"	Suppressed
	"St. Lawrence County, NY"	"36089"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"Unknown or Not Stated"	"9"	Suppressed
